Crypto Name,Price,24H Change,24H Volume,Market cap
BTC,"$17,285.58",+0.08%,$12.68 B,$331.32 B
ETH,"$1,286.09",+0.48%,$3.12 B,$155.98 B
USDT,$1.02,+0.07%,$15.96 B,$65.83 B
BNB,$294.00,+0.91%,$439.84 M,$46.48 B
USDC,$1.00,+0.05%,$1.16 B,$42.77 B
BUSD,$1.00,+0.12%,$3.8 B,$22.19 B
XRP,$0.3909,-0.56%,$298.94 M,$19.46 B
DOGE,$0.09818,+0.06%,$207.17 M,$12.87 B
ADA,$0.3165,-0.21%,$89.44 M,$10.78 B
MATIC,$0.9214,+0.38%,$113.54 M,$7.95 B
DOT,$5.36,-0.31%,$88.61 M,$6.05 B
DAI,$1.01,+0.03%,$101.54 M,$5.89 B
WTRX,$0.05459,-0.25%,"$827,599",$5.55 B
LTC,$78.53,+1.20%,$262.77 M,$5.56 B
SHIB,$0.000009399,-0.28%,$52.88 M,$5.06 B
TRX,$0.05453,-0.96%,$144.07 M,$5.02 B
SOL,$14.26,+0.28%,$96.49 M,$5 B
HEX,$0.02854,+0.21%,$1.88 M,$4.95 B
UNI,$6.15,-1.44%,$39.07 M,$4.61 B
stETH,"$1,229.36",-0.72%,$7.66 M,$4.29 B
AVAX,$13.62,+0.12%,$92.7 M,$4.18 B
LEO,$3.74,-0.53%,$1.23 M,$3.57 B
LINK,$6.99,+0.76%,$111.08 M,$3.51 B
WBTC,"$17,368.74",+0.18%,$34.94 M,$3.43 B
ATOM,$10.04,+1.27%,$164.98 M,$2.82 B
XMR,$150.82,+0.40%,$52.46 M,$2.75 B
ETC,$19.53,-0.26%,$61.42 M,$2.66 B
TON,$1.94,+4.95%,$30.09 M,$2.37 B
XLM,$0.08654,+0.19%,$26.38 M,$2.19 B
BCH,$110.96,-0.75%,$102.55 M,$2.1 B
ALGO,$0.2303,-0.84%,$30.8 M,$1.62 B
CRO,$0.06452,-0.81%,$12.95 M,$1.61 B
APE,$4.23,+3.07%,$176.22 M,$1.51 B
FIL,$4.46,-0.03%,$41.82 M,$1.48 B
QNT,$123.45,-0.12%,$13.25 M,$1.46 B
NEAR,$1.72,-0.46%,$29.17 M,$1.42 B
VET,$0.01992,-0.34%,$26.73 M,$1.4 B
OKB,$21.44,-0.70%,$12.62 M,$1.29 B
ICP,$4.47,+0.77%,$14.18 M,$1.23 B
HBAR,$0.05104,+0.37%,$8.77 M,$1.21 B
EOS,$1.06,-0.86%,$97.03 M,$1.12 B
WBNB,$289.73,+0.92%,$35.39 M,$1.11 B
TWT,$2.61,+2.12%,$39.61 M,$1.09 B
EGLD,$46.14,+0.05%,$16.78 M,$1.08 B
FLOW,$1.04,-0.18%,$19.87 M,$1.06 B
LUNC,$0.0001892,-0.41%,$51.74 M,$1.02 B
FRAX,$0.9952,-0.52%,$2.58 M,$1.02 B
HT,$6.45,-0.12%,$8.28 M,$988.43 M
USDP,$1.00,+0.06%,"$705,060",$947.37 M
XTZ,$1.02,+0.71%,$9.18 M,$923.55 M
